tips_id,category,tip,split,focus,goal,activity_level,tags
65,workout,Alternate vertical and horizontal pulls in the same session for complete back stimulus.,pull,hypertrophy,any,any,pull;hypertrophy;training
66,workout,Add face pulls or band pull‑aparts 2–3×/wk to keep shoulders balanced.,pull,general,any,any,pull;general;training
67,workout,Include both knee‑dominant (squat/leg press) and hip‑hinge (RDL) patterns each week.,legs,hypertrophy,any,any,legs;hypertrophy;training
68,workout,"Use top‑set + back‑off model (e.g., 1×3 heavy, 3×5 lighter) to build strength and volume.",legs,strength,any,any,legs;strength;training
69,workout,Superset push/pull to save time without sacrificing quality; 6–12 reps.,upper,general,any,any,upper;general;training
70,workout,Heavy row 3–5×4–6; keep biceps curls at RIR 2 to protect elbows.,pull,strength,any,any,pull;strength;training
71,recovery,"Post‑upper: pec stretch 30–45s ×2, wall slides 2×12, band pull‑aparts 2×20.",upper,hypertrophy,any,any,upper;hypertrophy;recovery
72,recovery,After heavy bench/pulls: easy bike 8–12 min + rotator cuff ER 2×15.,upper,strength,any,any,upper;strength;recovery
73,recovery,Sleeper stretch 2×30s each side + light rear‑delt raises 2×20.,push,hypertrophy,any,any,push;hypertrophy;recovery
74,recovery,Thoracic openers (cat‑camel 1–2 min) + overhead band lat stretch 2×30s.,pull,hypertrophy,any,any,pull;hypertrophy;recovery
75,recovery,Walk 10–15 min next morning; gentle quad/ham stretch 2×30s.,legs,hypertrophy,any,any,legs;hypertrophy;recovery
76,recovery,Keep 48h before next heavy press; swap barbell for DBs if shoulders feel cranky.,push,strength,any,any,push;strength;recovery
77,recovery,Forearm extensor work 2–3×/wk (rice bucket or bands) to balance gripping.,pull,strength,any,any,pull;strength;recovery
78,recovery,Hip 90/90 transitions 2–3 min + calf raises 2×20 to keep ankles happy.,legs,strength,any,any,legs;strength;recovery
79,recovery,"If elbows flare, drop triceps volume 20% for a week and re‑progress.",push,general,any,any,push;general;recovery
80,recovery,15–20 min Zone 2 on off‑day to improve recovery and work capacity.,upper,general,any,any,upper;general;recovery
