exercise_id,exercise_name,description,instructions
17,Dumbbell Overhead Press,"Dumbbell Overhead Press performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the dumbbell overhead press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
18,Pike Push-up,Pike Push-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the pike push-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
19,Smith Machine Overhead Press,"Smith Machine Overhead Press performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the smith machine overhead press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
20,Kettlebell Overhead Press,"Kettlebell Overhead Press performed with a kettlebell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Keep shoulders packed and hinge from hips when applicable. Begin the kettlebell overhead press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
21,Dip,Dip performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the dip with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
22,Resistance Band Overhead Press,"Resistance Band Overhead Press performed with a resistance band. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Anchor the band securely and keep constant tension. Begin the resistance band overhead press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
23,Machine Chest Press,"Machine Chest Press performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the machine chest press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
24,Smith Machine Bench Press,"Smith Machine Bench Press performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the smith machine bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
25,Incline Smith Machine Bench Press,"Incline Smith Machine Bench Press performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the incline smith machine bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
26,Dumbbell Bench Press,"Dumbbell Bench Press performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the dumbbell bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
27,Incline Dumbbell Bench Press,"Incline Dumbbell Bench Press performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the incline dumbbell bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
28,Barbell Bench Press,"Barbell Bench Press performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the barbell bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
29,Incline Barbell Bench Press,"Incline Barbell Bench Press performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the incline barbell bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
30,Kettlebell Bench Press,"Kettlebell Bench Press performed with a kettlebell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Keep shoulders packed and hinge from hips when applicable. Begin the kettlebell bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
31,Push-up,Push-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the push-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
32,Decline Push-up,Decline Push-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the decline push-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
33,Diamond Push-up,Diamond Push-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the diamond push-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
34,Knee Push-up,Knee Push-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the knee push-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
35,Resistance Band Chest Press,"Resistance Band Chest Press performed with a resistance band. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Anchor the band securely and keep constant tension. Begin the resistance band chest press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
36,Pull-up,Pull-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the pull-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
37,Chin-up,Chin-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the chin-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
38,Lat Pulldown,Lat Pulldown performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the lat pulldown with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
39,Band-assisted Pull-up,Band-assisted Pull-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the band-assisted pull-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
40,Reverse Shrug,"Reverse Shrug performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the reverse shrug with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
41,Resistance Band Lat Pulldown,"Resistance Band Lat Pulldown performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the resistance band lat pulldown with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
42,Cable Row,"Cable Row performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the cable row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
43,Machine Row,"Machine Row performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the machine row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
44,Smith Machine Row,"Smith Machine Row performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the smith machine row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
45,Bent-Over Barbell Row,"Bent-Over Barbell Row performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the bent-over barbell row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
46,Bent-Over Dumbbell Row,"Bent-Over Dumbbell Row performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the bent-over dumbbell row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
47,Single-Arm Bent-Over Dumbbell Row,"Single-Arm Bent-Over Dumbbell Row performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the single-arm bent-over dumbbell row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
48,Pendlay Row,"Pendlay Row performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the pendlay row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
49,Resistance Band Row,"Resistance Band Row performed with a resistance band. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Anchor the band securely and keep constant tension. Begin the resistance band row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
50,T-Bar Row,"T-Bar Row performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the t-bar row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
51,Barbell Squat,"Barbell Squat performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the barbell squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
52,Dumbbell Squat,"Dumbbell Squat performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the dumbbell squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
53,Smith Machine Squat,"Smith Machine Squat performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the smith machine squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
54,Leg Press,"Leg Press performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the leg press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
55,Pistol Squat,Pistol Squat performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the pistol squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
56,Bodyweight Squat,Bodyweight Squat performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the bodyweight squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
57,Resistance Band Squat,Resistance Band Squat performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the resistance band squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
58,Kettlebell Squat,Kettlebell Squat performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the kettlebell squat with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
59,Romanian Deadlift,"Romanian Deadlift performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the romanian deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
60,Sumo Deadlift,"Sumo Deadlift performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the sumo deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
61,Conventional Deadlift,"Conventional Deadlift performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the conventional deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
62,Stiff Legged Deadlift,"Stiff Legged Deadlift performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the stiff legged deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
63,Dumbbell Romanian Deadlift,"Dumbbell Romanian Deadlift performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the dumbbell romanian deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
64,Dumbbell Stiff Legged Deadlift,"Dumbbell Stiff Legged Deadlift performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the dumbbell stiff legged deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
65,Resistance Band Deadlift,"Resistance Band Deadlift performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the resistance band deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
66,Kettlebell Deadlift,"Kettlebell Deadlift performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the kettlebell deadlift with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
67,Barbell Bench Press,"Barbell Bench Press performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the barbell bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
68,Dumbbell Bench Press,"Dumbbell Bench Press performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the dumbbell bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
69,Incline Barbell Bench Press,"Incline Barbell Bench Press performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the incline barbell bench press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
70,Incline Dumbbell Press,"Incline Dumbbell Press performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the incline dumbbell press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
71,Push-Up,Push-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the push-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
72,Overhead Press,"Overhead Press performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the overhead press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
73,Seated Dumbbell Shoulder Press,"Seated Dumbbell Shoulder Press performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the seated dumbbell shoulder press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
74,Machine Chest Press,"Machine Chest Press performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the machine chest press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
75,Cable Chest Fly,"Cable Chest Fly performed with a cable machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the cable chest fly with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
76,Dips,Dips performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the dips with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
77,Pike Push-Up,Pike Push-up performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the pike push-up with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
78,Landmine Press,"Landmine Press performed with landmine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set up in a balanced, athletic stance and brace your core. Begin the landmine press with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
79,Incline Dumbbell Fly,"Incline Dumbbell Fly performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the incline dumbbell fly with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
80,Barbell Bent-Over Row,"Barbell Bent-Over Row performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the barbell bent-over row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
81,Pendlay Row,"Pendlay Row performed with a barbell. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Set rack height and use collars; brace core before each rep. Begin the pendlay row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
82,Dumbbell Row,"Dumbbell Row performed with a pair of dumbbells. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Select a weight you can control; maintain a firm, neutral wrist. Begin the dumbbell row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
83,Seated Cable Row,"Seated Cable Row performed with a cable machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the seated cable row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
84,Chest-Supported Row (Machine),"Chest-Supported Row (Machine) performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the chest-supported row (machine) with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
85,T-Bar Row,"T-Bar Row performed with a weight machine. Focus on stable posture, smooth tempo, and proper alignment throughout each rep.","Adjust seat/pads and set the pin/weight; align joints with the machine axis. Begin the t-bar row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
86,Inverted Row,Inverted Row performed using bodyweight only. Emphasizes controlled technique and full range of motion.,"Set up in a balanced, athletic stance and brace your core. Begin the inverted row with a neutral spine and controlled breathing. Move through the full range without bouncing; pause briefly at endpoints. Aim for quality reps (e.g., 8–12) unless your program specifies otherwise."
